Class_attendance,LA2SS,LA3SS,LA4SS,LA5SS,LA6SS,QA2SS,QA3SS,QA4SS,QA5SS,QA6SS,EC2SS,EC3SS,EC4SS,EC5SS,EC6SS,DS3S,DS4S,DS5S,DS6S,AS5S,AS6S,sessional_marks,project_marks,Logical_Ability,Quantitative_Ability,English_Comprehension,Domain_Knowledge,Automata_Programming,placement_status
79.0,0.0,355.0,0.0,0.0,0.0,0.0,385.0,0.0,0.0,0.0,0.0,515.0,0.0,0.0,0.0,367.0,0.0,0.0,0.0,0.0,6.0,46.8,25.0,71.0,77.0,103.0,91.75,3.0,Minimal Chance
77.0,270.0,330.0,380.0,340.0,35.0,430.0,210.0,300.0,335.0,36.0,265.0,360.0,320.0,405.0,29.0,367.0,340.0,300.0,13.0,0.0,0.0,70.3,46.0,271.0,262.2,275.8,255.0,0.0,Minimal Chance
34.0,380.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.90814814814816,42.91111111111111,76.0,76.0,72.0,0.0,0.0,Minimal Chance
0.0,400.0,460.0,445.0,400.0,36.0,345.0,235.0,440.0,360.0,21.0,345.0,370.0,370.0,375.0,39.0,420.0,500.0,340.0,12.0,25.0,69.0,63.1,42.0,348.2,280.2,299.8,318.0,47.0,Minimal Chance
43.0,405.0,290.0,300.0,375.0,39.0,295.0,330.0,400.0,365.0,74.0,390.0,410.0,380.0,405.0,42.0,313.0,380.0,300.0,39.0,0.0,100.0,70.0,42.0,281.8,292.8,325.4,258.0,50.0,Minimal Chance
45.0,0.0,395.0,495.0,490.0,0.0,0.0,250.0,360.0,380.0,0.0,0.0,320.0,395.0,445.0,0.0,313.0,220.0,380.0,0.0,0.0,0.0,66.1,42.0,276.0,198.0,232.0,228.25,0.0,Minimal Chance
0.0,495.0,350.0,435.0,400.0,64.0,305.0,290.0,410.0,325.0,37.0,355.0,445.0,355.0,380.0,39.0,367.0,260.0,340.0,8.0,0.0,54.0,79.0,45.0,348.8,273.4,314.8,243.75,27.0,Minimal Chance
0.0,670.0,0.0,575.0,575.0,59.0,605.0,0.0,-1.0,600.0,54.0,395.0,0.0,450.0,540.0,46.0,0.0,460.0,380.0,44.0,0.0,0.0,75.9,48.0,375.8,251.6,286.2,221.0,0.0,Minimal Chance
32.0,380.0,495.0,495.0,485.0,51.0,345.0,250.0,430.0,335.0,0.0,310.0,305.0,375.0,310.0,29.0,260.0,180.0,380.0,23.0,0.0,9.0,72.8,42.0,381.2,272.0,265.8,210.75,4.5,Minimal Chance
54.0,275.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,70.90814814814816,42.91111111111111,55.0,66.0,61.0,0.0,32.0,Minimal Chance
22.0,320.0,300.0,0.0,0.0,0.0,290.0,170.0,0.0,0.0,0.0,365.0,370.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,35.2,25.0,124.0,92.0,147.0,105.0,0.0,Minimal Chance
65.0,0.0,420.0,-1.0,500.0,0.0,0.0,360.0,425.0,380.0,0.0,0.0,395.0,440.0,355.0,0.0,260.0,500.0,340.0,0.0,0.0,9.0,70.90814814814816,42.91111111111111,183.8,233.0,238.0,275.0,4.5,Minimal Chance
66.0,605.0,515.0,560.0,570.0,69.0,545.0,560.0,350.0,665.0,69.0,455.0,495.0,460.0,530.0,68.0,527.0,260.0,300.0,56.0,0.0,6.0,80.5,45.0,463.8,437.8,401.6,285.75,3.0,Minimal Chance
76.0,640.0,400.0,490.0,535.0,59.0,475.0,460.0,490.0,425.0,0.0,525.0,520.0,495.0,595.0,46.0,740.0,540.0,340.0,67.0,0.0,0.0,81.9,48.0,424.8,370.0,436.2,421.75,0.0,Minimal Chance
0.0,475.0,395.0,0.0,0.0,0.0,365.0,140.0,0.0,0.0,0.0,500.0,485.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,13.0,100.0,51.2,34.0,174.0,101.0,197.0,65.0,56.5,Minimal Chance
32.0,510.0,465.0,0.0,0.0,0.0,385.0,490.0,0.0,0.0,0.0,490.0,420.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,33.0,70.0,48.0,195.0,175.0,182.0,105.0,16.5,Minimal Chance
23.0,0.0,465.0,535.0,470.0,58.0,0.0,395.0,500.0,435.0,46.0,0.0,445.0,395.0,415.0,36.0,420.0,420.0,300.0,56.0,0.0,0.0,82.0,46.0,305.6,275.2,258.2,299.0,0.0,Minimal Chance
76.0,645.0,435.0,0.0,545.0,53.0,435.0,485.0,0.0,515.0,37.0,465.0,365.0,0.0,455.0,58.0,260.0,0.0,220.0,25.0,0.0,0.0,60.9,43.0,335.6,294.4,268.6,126.25,0.0,Minimal Chance
66.0,205.0,320.0,385.0,370.0,38.0,360.0,285.0,285.0,300.0,27.0,440.0,375.0,305.0,400.0,28.0,207.0,380.0,180.0,39.0,0.0,0.0,65.5,42.0,263.6,251.4,309.6,201.5,0.0,Minimal Chance
23.0,360.0,410.0,450.0,0.0,0.0,345.0,235.0,400.0,0.0,0.0,415.0,415.0,300.0,0.0,0.0,207.0,300.0,0.0,0.0,0.0,0.0,80.4,47.0,244.0,196.0,226.0,126.75,0.0,Minimal Chance
45.0,370.0,265.0,325.0,435.0,54.0,290.0,220.0,330.0,480.0,31.0,420.0,435.0,380.0,415.0,54.0,367.0,420.0,300.0,34.0,0.0,95.0,46.9,46.0,289.8,270.2,340.8,280.25,47.5,Minimal Chance
88.0,450.0,310.0,385.0,0.0,0.0,300.0,255.0,380.0,0.0,0.0,360.0,440.0,415.0,0.0,0.0,367.0,300.0,0.0,0.0,20.0,82.0,57.7,39.0,229.0,187.0,243.0,166.75,51.0,Minimal Chance
45.0,0.0,455.0,0.0,0.0,66.0,0.0,235.0,0.0,0.0,81.0,0.0,340.0,0.0,0.0,61.0,367.0,0.0,0.0,63.0,0.0,72.0,69.0,45.0,104.2,63.2,80.2,107.5,36.0,Minimal Chance
56.0,540.0,365.0,0.0,0.0,0.0,450.0,225.0,0.0,0.0,0.0,415.0,510.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,70.90814814814816,42.91111111111111,181.0,135.0,185.0,105.0,0.0,Minimal Chance
77.0,535.0,515.0,0.0,0.0,0.0,410.0,360.0,0.0,0.0,0.0,495.0,365.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,27.0,50.0,70.90814814814816,42.91111111111111,210.0,154.0,172.0,105.0,38.5,Minimal Chance
45.0,320.0,310.0,0.0,0.0,38.0,360.0,290.0,0.0,0.0,45.0,440.0,365.0,0.0,0.0,39.0,473.0,0.0,0.0,29.0,0.0,0.0,70.90814814814816,42.91111111111111,133.6,139.0,168.8,125.5,0.0,Minimal Chance
54.0,585.0,490.0,-1.0,595.0,0.0,400.0,420.0,-1.0,405.0,0.0,570.0,430.0,445.0,405.0,0.0,420.0,380.0,420.0,0.0,0.0,0.0,83.2,44.0,333.8,244.8,370.0,305.0,0.0,Minimal Chance
54.0,390.0,405.0,0.0,0.0,0.0,325.0,245.0,0.0,0.0,0.0,400.0,380.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,9.0,70.90814814814816,42.91111111111111,159.0,114.0,156.0,78.25,4.5,Minimal Chance
42.0,440.0,380.0,360.0,0.0,0.0,340.0,280.0,325.0,0.0,0.0,410.0,395.0,380.0,0.0,0.0,473.0,220.0,0.0,0.0,0.0,22.0,69.9,42.0,236.0,189.0,237.0,173.25,11.0,Minimal Chance
43.0,505.0,390.0,420.0,0.0,0.0,275.0,300.0,475.0,0.0,0.0,490.0,345.0,465.0,0.0,0.0,527.0,220.0,0.0,0.0,0.0,9.0,70.90814814814816,42.91111111111111,263.0,210.0,260.0,186.75,4.5,Minimal Chance
22.0,380.0,300.0,0.0,0.0,0.0,330.0,310.0,0.0,0.0,0.0,305.0,375.0,0.0,0.0,31.0,367.0,0.0,0.0,21.0,0.0,0.0,71.2,42.0,136.0,128.0,142.2,97.0,0.0,Minimal Chance
76.0,535.0,445.0,420.0,550.0,0.0,345.0,300.0,465.0,345.0,0.0,475.0,370.0,475.0,395.0,0.0,260.0,420.0,300.0,0.0,0.0,0.0,70.9,44.0,390.0,291.0,343.0,245.0,0.0,Minimal Chance
0.0,390.0,315.0,430.0,435.0,43.0,315.0,325.0,250.0,460.0,23.0,460.0,430.0,415.0,485.0,37.0,367.0,380.0,380.0,18.0,0.0,0.0,68.3,44.0,322.6,274.6,365.4,286.25,0.0,Minimal Chance
46.0,0.0,435.0,375.0,420.0,0.0,0.0,200.0,280.0,365.0,0.0,0.0,330.0,375.0,460.0,0.0,473.0,380.0,220.0,0.0,0.0,27.0,87.2,45.0,246.0,169.0,233.0,268.25,13.5,Minimal Chance
23.0,360.0,250.0,370.0,415.0,0.0,285.0,210.0,345.0,265.0,0.0,300.0,345.0,470.0,380.0,0.0,367.0,260.0,300.0,0.0,0.0,54.0,64.3,44.0,279.0,221.0,299.0,231.75,27.0,Minimal Chance
21.0,0.0,310.0,530.0,390.0,48.0,0.0,215.0,440.0,305.0,37.0,0.0,435.0,330.0,415.0,24.0,260.0,260.0,260.0,29.0,0.0,0.0,71.6,48.0,255.6,199.4,240.8,202.25,0.0,Minimal Chance
43.0,545.0,265.0,-1.0,530.0,66.0,355.0,385.0,340.0,350.0,58.0,555.0,455.0,480.0,545.0,58.0,420.0,220.0,460.0,54.0,0.0,0.0,73.5,45.0,281.0,297.6,418.6,288.5,0.0,Minimal Chance
54.0,420.0,350.0,460.0,0.0,49.0,375.0,270.0,325.0,0.0,36.0,265.0,395.0,295.0,0.0,38.0,367.0,260.0,0.0,38.0,0.0,0.0,46.9,44.0,255.8,201.2,198.6,166.25,0.0,Minimal Chance
88.0,300.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.9,41.0,60.0,64.0,63.0,0.0,0.0,Minimal Chance
61.0,0.0,465.0,435.0,420.0,52.0,0.0,285.0,305.0,340.0,42.0,0.0,355.0,340.0,335.0,34.0,367.0,340.0,17.0,25.0,0.0,17.0,70.90814814814816,42.91111111111111,274.4,194.4,212.8,187.25,8.5,Minimal Chance
62.0,370.0,455.0,445.0,360.0,42.0,325.0,335.0,340.0,300.0,39.0,360.0,355.0,350.0,415.0,28.0,260.0,380.0,380.0,31.0,0.0,0.0,64.5,45.0,334.4,267.8,301.6,262.75,0.0,Minimal Chance
55.0,0.0,390.0,370.0,0.0,27.0,0.0,100.0,340.0,0.0,0.0,0.0,345.0,425.0,0.0,26.0,313.0,380.0,0.0,25.0,0.0,4.0,70.90814814814816,42.91111111111111,157.4,88.0,159.2,179.5,2.0,Minimal Chance
54.0,0.0,425.0,0.0,-1.0,0.0,0.0,355.0,0.0,315.0,0.0,0.0,310.0,0.0,395.0,0.0,473.0,0.0,220.0,0.0,0.0,0.0,67.9,40.0,84.8,134.0,141.0,173.25,0.0,Minimal Chance
11.0,695.0,515.0,495.0,525.0,61.0,410.0,440.0,480.0,495.0,59.0,485.0,410.0,440.0,435.0,57.0,420.0,460.0,300.0,24.0,0.0,9.0,74.5,48.0,458.2,376.8,365.4,301.0,4.5,Minimal Chance
62.0,535.0,400.0,530.0,570.0,64.0,515.0,375.0,430.0,385.0,50.0,395.0,510.0,530.0,435.0,59.0,580.0,340.0,300.0,38.0,0.0,0.0,79.0,45.0,419.8,351.0,385.8,314.5,0.0,Minimal Chance
43.0,465.0,385.0,-1.0,-1.0,55.0,410.0,605.0,310.0,300.0,75.0,500.0,390.0,370.0,405.0,47.0,367.0,220.0,420.0,67.0,0.0,0.0,81.2,44.0,180.6,340.0,342.4,268.5,0.0,Minimal Chance
54.0,455.0,370.0,545.0,430.0,43.0,290.0,655.0,345.0,325.0,53.0,390.0,490.0,430.0,430.0,36.0,633.0,220.0,220.0,49.0,0.0,0.0,73.9,44.0,368.6,333.6,355.2,280.5,0.0,Minimal Chance
42.0,470.0,450.0,415.0,430.0,43.0,360.0,145.0,315.0,310.0,53.0,385.0,425.0,340.0,430.0,51.0,473.0,300.0,140.0,63.0,0.0,0.0,79.0,46.0,361.6,236.6,326.2,244.0,0.0,Minimal Chance
56.0,415.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.90814814814816,42.91111111111111,83.0,64.0,73.0,0.0,0.0,Minimal Chance
66.0,425.0,350.0,435.0,515.0,47.0,395.0,295.0,300.0,405.0,34.0,420.0,390.0,295.0,405.0,43.0,473.0,380.0,220.0,52.0,0.0,100.0,72.4,48.0,354.4,285.8,310.6,281.25,50.0,Minimal Chance
45.0,480.0,370.0,0.0,0.0,0.0,345.0,215.0,0.0,0.0,0.0,375.0,310.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,51.3,36.0,170.0,112.0,137.0,105.0,0.0,Minimal Chance
72.0,0.0,250.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,42.0,49.0,25.0,50.0,53.0,86.0,65.0,21.0,Minimal Chance
63.0,345.0,0.0,415.0,0.0,0.0,450.0,0.0,455.0,0.0,0.0,410.0,0.0,370.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,70.90814814814816,42.91111111111111,152.0,181.0,156.0,85.0,0.0,Minimal Chance
11.0,375.0,-1.0,0.0,0.0,0.0,350.0,-2.0,0.0,0.0,0.0,430.0,560.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,9.0,70.90814814814816,42.91111111111111,74.8,69.6,198.0,-0.5,4.5,Minimal Chance
23.0,535.0,395.0,440.0,-1.0,55.0,395.0,-1.0,-1.0,-1.0,0.0,405.0,530.0,455.0,430.0,40.0,420.0,220.0,260.0,49.0,0.0,0.0,80.0,46.0,284.8,78.4,372.0,237.25,0.0,Minimal Chance
33.0,495.0,410.0,545.0,430.0,49.0,355.0,280.0,360.0,400.0,26.0,385.0,490.0,410.0,355.0,53.0,367.0,300.0,260.0,22.0,0.0,9.0,80.4,46.0,385.8,284.2,338.6,237.25,4.5,Minimal Chance
43.0,475.0,470.0,390.0,0.0,57.0,440.0,445.0,345.0,0.0,0.0,385.0,380.0,380.0,0.0,33.0,313.0,260.0,0.0,42.0,0.0,14.0,84.9,46.0,278.4,246.0,235.6,153.75,7.0,Minimal Chance
24.0,0.0,280.0,435.0,385.0,39.0,0.0,270.0,455.0,345.0,37.0,0.0,310.0,450.0,400.0,26.0,313.0,300.0,460.0,38.0,0.0,0.0,74.7,46.0,227.8,221.4,237.2,277.75,0.0,Minimal Chance
43.0,0.0,345.0,420.0,480.0,21.0,0.0,390.0,300.0,315.0,30.0,0.0,370.0,310.0,330.0,34.0,420.0,380.0,260.0,23.0,0.0,0.0,64.0,41.0,253.2,207.0,208.8,270.75,0.0,Minimal Chance
43.0,415.0,305.0,0.0,0.0,0.0,380.0,215.0,0.0,0.0,0.0,355.0,425.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,70.90814814814816,42.91111111111111,144.0,119.0,156.0,78.25,0.0,Minimal Chance
45.0,0.0,370.0,340.0,370.0,28.0,0.0,275.0,-1.0,370.0,39.0,0.0,430.0,350.0,490.0,40.0,367.0,220.0,420.0,51.0,0.0,0.0,80.5,44.0,221.6,136.6,262.0,264.5,0.0,Minimal Chance
63.0,535.0,470.0,505.0,575.0,57.0,430.0,450.0,515.0,540.0,38.0,350.0,385.0,340.0,430.0,29.0,313.0,260.0,300.0,36.0,0.0,0.0,77.0,42.0,428.4,394.6,306.8,227.25,0.0,Minimal Chance
54.0,0.0,370.0,0.0,440.0,58.0,0.0,435.0,0.0,425.0,43.0,0.0,455.0,0.0,385.0,39.0,420.0,0.0,220.0,28.0,0.0,0.0,60.0,42.0,173.6,180.6,175.8,167.0,0.0,Minimal Chance
44.0,580.0,495.0,515.0,585.0,0.0,460.0,285.0,465.0,405.0,0.0,460.0,385.0,490.0,515.0,0.0,473.0,340.0,380.0,0.0,0.0,0.0,74.0,45.0,435.0,323.0,370.0,298.25,0.0,Minimal Chance
47.0,300.0,370.0,-1.0,455.0,44.0,360.0,220.0,415.0,-1.0,73.0,345.0,340.0,390.0,425.0,54.0,313.0,180.0,180.0,46.0,0.0,0.0,70.9,42.0,233.6,213.4,310.8,179.75,0.0,Minimal Chance
56.0,500.0,295.0,340.0,505.0,47.0,455.0,275.0,430.0,435.0,74.0,360.0,325.0,290.0,395.0,46.0,367.0,340.0,340.0,39.0,0.0,0.0,84.0,48.0,337.4,333.8,283.2,271.5,0.0,Minimal Chance
43.0,0.0,300.0,335.0,330.0,0.0,0.0,295.0,330.0,325.0,0.0,0.0,500.0,365.0,315.0,0.0,313.0,260.0,340.0,0.0,0.0,0.0,70.90814814814816,42.91111111111111,193.0,190.0,236.0,228.25,0.0,Minimal Chance
54.0,0.0,285.0,270.0,295.0,14.0,0.0,150.0,340.0,285.0,34.0,0.0,385.0,285.0,495.0,37.0,367.0,340.0,-2.0,19.0,0.0,0.0,65.0,43.0,172.8,161.8,240.4,181.0,0.0,Minimal Chance
45.0,510.0,410.0,-1.0,0.0,0.0,375.0,330.0,355.0,0.0,0.0,575.0,365.0,485.0,0.0,0.0,473.0,340.0,0.0,0.0,3.0,0.0,65.0,38.0,183.8,212.0,285.0,203.25,1.5,Minimal Chance
56.0,370.0,355.0,335.0,320.0,40.0,320.0,345.0,355.0,335.0,34.0,475.0,380.0,455.0,310.0,33.0,313.0,300.0,300.0,24.0,0.0,0.0,74.0,43.0,284.0,277.8,330.6,234.25,0.0,Minimal Chance
51.125748502994014,435.0,325.0,405.0,470.0,44.0,345.0,150.0,475.0,400.0,34.0,320.0,365.0,385.0,425.0,33.0,313.0,260.0,260.0,17.0,0.0,0.0,67.0,41.0,335.8,280.8,305.6,212.5,0.0,Minimal Chance
62.0,0.0,325.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,405.0,0.0,0.0,0.0,367.0,0.0,0.0,0.0,0.0,0.0,70.90814814814816,42.91111111111111,65.0,44.0,81.0,91.75,0.0,Minimal Chance
43.0,0.0,350.0,400.0,405.0,39.0,0.0,385.0,345.0,415.0,34.0,0.0,360.0,550.0,420.0,34.0,260.0,220.0,180.0,64.0,0.0,0.0,70.90814814814816,42.91111111111111,238.8,235.8,272.8,181.0,0.0,Minimal Chance
